text,label,source
Prabowo Bakal Cek Penanganan Kebakaran Hutan Sumatra Hari Ini. Peninjauan kebakaran hutan Sumatra merupakan kelanjutan dari kunjungan Prabowo setelah menyambangi Kalimantan.,0,dpr_human_verified
"Apel Kebangsaan Jaga Jakarta Digelar di Monas Hari Ini. Apel Kebangsaan Jaga Jakarta digelar di Monas, diinisiasi Polda Metro Jaya dengan menggandeng Kodam Jaya, Pemprov DKI dan sejumlah elemen masyarakat.",1,dpr_human_verified
"Perumda Pasar Jaya Gelar Bazar Prime Ramadan di Balkot, Catat Tanggalnya. Perumda Pasar Jaya Gelar Bazar Prime Ramadan di Balkot, Catat Tanggalnya",1,dpr_human_verified
Detik-detik Kebakaran Hebat Lahap Gedung Bapenda DKI. Gedung Badan Pendapatan Daerah Bapenda DKI Jakarta mengalami kebakaran pada Jumat 7 8 malam.,0,dpr_human_verified
"Daya Beli Tertekan, Industri Kecantikan Dorong Produk Terjangkau dan Berkualitas. Prof Adjunct Marniati mengatakan kondisi ekonomi yang menantang justru dapat menjadi momentum bagi produk kosmetik, khususnya lipstik.",1,dpr_human_verified
"Investasi RI Tembus Rp 1.010 T, Pengusaha Ungkap Dampaknya ke Industri Lokal. Investasi Indonesia mencapai Rp 1.010 triliun pada semester I-2026, tumbuh 7,2 . HIPMI dorong penguatan industri lokal dan akses pembiayaan untuk pengusaha.",2,dpr_human_verified
"Trump Tuding Kanada Ingin Keuntungan Sebagai Negara Bagian. Negosiasi perdagangan AS dan Kanada runtuh. Donald Trump memberlakukan tarif 50 persen, sementara PM Mark Carney bersiap membalas",0,dpr_human_verified
"Berdayakan Ibu-ibu PKK, UMMADA Cirebon Kembangkan Manisan dari Kulit Semangka. REPUBLIKA.CO.ID, KUNINGAN -",2,dpr_human_verified
"Orang Tua Siswa Sekolah Rakyat Menangis Haru di Hadapan Seskab Teddy. Siti Yuliana, seorang ibu rumah tangga asal Jakarta Utara menangis di hadapan Sekretaris Kabinet Teddy Indra Wijaya, Menteri Sosial Saifullah Yusuf Gus Ipul",1,dpr_human_verified
"TASPEN Salurkan Manfaat kepada Pejabat Negara dan Ahli Waris. Manfaat tersebut diberikan kepada Anwar Usman yang memasuki masa purnabakti dengan Terhitung Mulai Tanggal TMT 1 Mei 2026, dan kepada ahli waris Rachmat Gobel yang wafat pada 10 Juli 2026.",2,dpr_human_verified
