id;title;content_preview;initial_ai_sentiment;manual_verified_label;notes
1;Kebakaran Besar di Pasar Jagong Jeget Aceh Hanguskan 96 Unit Kios;Sedikitnya 96 unit kios atau ruko berkonstruksi kayu ludes dilalap api imbas kebakaran hebat yang melanda kawasan Pasar Jagong Jeget, Aceh Tengah.;Negatif;0;
2;Operasi Masif PETI di Kuansing, Polda Riau Musnahkan 940 Rakit dalam 6 Bulan;Operasi Masif PETI di Kuansing, Polda Riau Musnahkan 940 Rakit dalam 6 Bulan;Netral;1;
3;Bareskrim Ungkap ABK Penyelundup 1,3 Ton Ketamin Dijanjikan Bonus Rp 178 Juta;Bareskrim Polri mendalami kasus penyelundupan 1,3 ton ketamin oleh ABK MV King Sun. Tersangka dijanjikan bonus hingga Rp 178 juta.;Negatif;0;
4;Suami di Banyuwangi Tusuk Istri Siri Hingga Tewas Karena Cemburu, Pelaku Terancam 20 Tahun Penjara;Korban tewas akibat satu tusukan di perut. Nyawa korban tak tertolong meski sempat dilarikan ke fasilitas kesehatan.;Negatif;0;
5;Kisah Penyintas Terorisme yang Bangkit usai Berdamai dengan Masa Lalu;Puluhan tahun setelah tragedi bom meneror ruang publik, luka para penyintas tidak serta-merta berakhir.;Negatif;0;
6;Kong Hyo Jin Ungkap Alasan Bintangi A Bona Fide Killer, Perankan Ibu Sekaligus Pembunuh;Dalam drama terbaru A Bona Fide Killer, aktris papan atas Korea Selatan Kong Hyo Jin menjelma menjadi seorang ibu sekaligus pembunuh bayaran legendaris.;Negatif;0;
7;Lebih BanyakFlash Video;Lebih BanyakFlash Video;Netral;1;
8;PLN Lakukan Pemulihan Kelistrikan Pascagempa M7.0 di Laut Flores;PLN memulihkan sistem kelistrikan NTT setelah gempa M7,7 mengguncang Laut Flores. PLTMG Maumere dan Rangko sempat padam akibat gempa susulan.;Negatif;0;
9;Bos Gendut Gembong Narkoba Kampung Bahari Ditangkap Saat Sedot Lemak;Gembong narkoba Kampung Bahari, MR atau Bos Gendut, ditangkap saat sedot lemak di salon. Ia terlibat kasus narkoba dan pencucian uang.;Negatif;0;
10;Perpres Ojol Bakal Terbit Akhir Bulan Ini, Atur Potongan Tarif Angkutan Orang hingga Makanan;Peraturan Presiden (Perpres) mengenai ojek online (ojol) masih dalam proses finalisasi. Diperkirakan aturan tersebut akan rampung pada akhir bulan Agustus ini.;Netral;1;
11;KPK Geledah 15 Lokasi di Empat Kota, Usut Kasus Pemerasan Bupati Pemalang;Penyidik KPK menyasar 10 rumah di Pemalang, dua rumah di Tegal, dua rumah di Pekalongan, dan satu rumah di Semarang;Netral;1;
